デバイス,2024/03/04 - 2025/07/03 クリック数,2025/01/03 - 2025/04/03 クリック数,2024/03/04 - 2025/07/03 表示回数,2025/01/03 - 2025/04/03 表示回数,2024/03/04 - 2025/07/03 CTR,2025/01/03 - 2025/04/03 CTR,2024/03/04 - 2025/07/03 掲載順位,2025/01/03 - 2025/04/03 掲載順位
モバイル,8421,1271,121989,18378,6.9%,6.92%,24.35,27.08
PC,2584,495,72914,11115,3.54%,4.45%,46.47,36.88
タブレット,214,45,2276,376,9.4%,11.97%,10.68,10.71
